D_name,count,S_chn_ppp_20,S_road_dis,S_busdis,S_subdis,S_jun_dis,S_shp_Large volume,S_shp_country,S_shp_crowd,S_shp_empty,S_shp_road,S_shp_squire,S_fun_交通用地,S_fun_公共服务,S_fun_商业用地,S_fun_基础设施用地,S_fun_居住用地,S_fun_工业用地,S_fun_空地,S_fun_绿地,S_shpstd,S_funstd,S_junction_num,S_marketjoin,S_busjoin,S_length,bw_1,bw_2,bw=3,bw=4,bw=5,bw=6,bw=7,bw=8
东南郡二期,40,28.0051,22.524184,221.759,925.242,200.737,52.42795917408134,0.0,23.40158153606093,0.0,0.0,24.170461823885343,0.0,1.003175193358064,9.459050273605015,0.0,39.38805719906188,0.0,0.0,8.819676212868085,21.042192828665417,13.572110171793913,2.0,108,6,4728.298960076733,4.310233638,14.93125728,41.72359851,86.71699627,144.5894956,208.4900457,272.4821535,332.6439042
东坡广场,351,26.005,6.929246,60.4433,1018.06,41.9259,2.306795179488691,0.0,60.35408606106445,0.0,0.083810404535443,37.25531072607497,0.0,0.95782001052826,0.0,0.0,0.0,0.0,0.255371524988118,19.914595172158734,25.958564921972627,6.987497132774106,42.0,42,2,9176.20873372805,9.076533127,49.56444074,111.7062804,178.0222301,242.9916172,304.8277325,362.194279,414.0003738
东方大街东,69,30.3781,12.357402,46.392,2730.21,31.6957,5.208858722726693,0.0,53.73123228072654,0.0,0.0,41.059911181966086,0.0,0.0,11.115498128511476,0.0,77.46055481123202,0.0,0.0,0.0,24.221589949281533,27.105553479501445,1.0,255,6,4066.5949841855017,14.75659694,43.82849475,83.92531055,126.5513431,170.1398585,215.4753175,261.9312761,308.0077493
东方明珠,210,28.0051,25.514931,65.0124,1267.85,153.045,70.23460663021632,0.0,0.020830819148452,0.0,0.0,29.744565619843048,0.036906269795703,0.981296652843146,5.712615525063081,0.0,60.83013287256404,0.0,4.538674739484239,9.194956536747831,28.813097082277725,20.7465969525668,4.0,242,4,4465.6561131819535,13.87846197,36.73326449,70.13696866,124.4224726,193.4911426,266.2998969,335.1932147,396.5869309
东方机械一号门,10,40.7616,14.690282,387.794,687.324,394.694,30.04331305706124,39.882750946023535,0.0,0.0,17.57589233389873,12.498046124536138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.53356861037693,16.07283971184705,31.301343363521,0.0,2,3,3192.47328289397,5.365460903,21.53315013,43.68347403,65.62685053,87.66277079,113.0023383,143.4020277,178.3448903
东方美地,393,28.0051,22.598022,89.9258,806.131,149.814,3.590571480996488,0.0,22.175287869451008,0.0,0.0,74.23414302607571,0.0,0.0,4.051076388536245,0.0,76.08183817234284,0.0,1.856897499888664,0.641281065579671,29.49127613578268,26.606200768702656,3.0,299,7,4518.2568807633,17.93316609,41.36465519,74.04920733,128.3354625,197.0629645,269.1267295,337.1649954,397.7998496
东环办事处办公楼,57,30.3781,7.15548,110.795,3726.1,172.001,78.05113219547299,0.0,3.023041608793451,0.0,0.0,18.92582883283385,1.227797795821952,1.954976989229053,12.862924606474968,0.0,24.866402969749466,33.6640168872584,0.0,0.0,30.96009773887483,13.240568536864489,2.0,41,9,3761.65623817816,12.08911038,44.88780984,86.861041,132.4684041,180.2904935,229.9285015,279.8699408,328.2846328
东环工业区,8,30.3781,0.366949,86.9471,4116.57,8.88562,82.583001912409,0.0,0.0,0.0,0.0,17.41700043556697,2.312800854388144,0.08408738488024,6.47772014553426,0.0,9.755172771757822,54.0660136837844,0.0,5.359677502926617,33.03524591736818,18.255168566816504,10.0,35,1,6700.142143545168,8.644554085,26.48427414,51.4231992,83.5079622,124.2573261,171.3386466,220.9841736,270.2731867
东环工业园,8,30.3781,20.983636,247.468,4732.77,547.79,37.20185671261671,0.0,62.79814506578552,0.0,0.0,0.0,0.0,0.077454237284767,0.0,0.0,1.203370685145938,64.08864046650558,22.991695515764,0.0,27.05889295822268,22.870642926643097,0.0,3,1,1110.5699512394951,10.85363643,44.49505646,79.23366074,116.6296213,157.9496355,202.5463585,248.9190959,295.1923223
东环派出所,21,30.3781,19.865785,41.7462,3761.59,59.943,27.33621246385667,0.0,0.0,0.0,0.0,72.6637900262659,6.870766148308523,1.311065644648389,0.660310042357115,0.0,41.07572942786468,29.44283358470208,0.0,3.730477188315815,29.53177320507396,15.831057725694798,9.0,15,2,8004.255187245593,8.341609669,29.0021459,55.87613072,90.32399169,133.6484386,182.760333,233.7057847,283.6714905
